Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
63585489,12/31/2024 11:46:35 PM,01/01/2025 01:28:03 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11369,32-35 86 STREET,86 STREET,32 AVENUE,NORTHERN BOULEVARD,32 AVENUE,NORTHERN BOULEVARD,ADDRESS,EAST ELMHURST,86 STREET,,Closed,,The Police Department issued a summons in response to the complaint.,01/01/2025 01:28:06 AM,03 QUEENS,4014160060,QUEENS,1016984,215126,ONLINE,Unspecified,QUEENS,,,,,,,,40.757087075636875,-73.88184518857946,"(40.757087075636875, -73.88184518857946)"
63579877,12/31/2024 11:46:29 PM,01/01/2025 09:01:37 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 09:01:49 AM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63573091,12/31/2024 11:46:28 PM,01/02/2025 05:11:39 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:16:12 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63580184,12/31/2024 11:46:23 PM,01/01/2025 01:45:42 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10463,67 STEVENSON PLACE,STEVENSON PLACE,BEND,SEDGWICK AVENUE,BEND,SEDGWICK AVENUE,ADDRESS,BRONX,STEVENSON PLACE,,Closed,,The Police Department issued a summons in response to the complaint.,01/01/2025 01:45:47 AM,08 BRONX,2032460076,BRONX,1013437,260789,MOBILE,Unspecified,BRONX,,,,,,,,40.88243144617686,-73.89444962474693,"(40.88243144617686, -73.89444962474693)"
63573459,12/31/2024 11:46:20 PM,01/01/2025 01:01:28 AM,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,10002,101 STANTON STREET,STANTON STREET,ORCHARD STREET,LUDLOW STREET,ORCHARD STREET,LUDLOW STREET,ADDRESS,NEW YORK,STANTON STREET,,Closed,,N/A,01/01/2025 01:01:31 AM,03 MANHATTAN,1004110018,MANHATTAN,987583,202061,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.721286859418704,-73.98797585611945,"(40.721286859418704, -73.98797585611945)"
63578102,12/31/2024 11:46:13 PM,01/02/2025 04:30:12 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 04:30:26 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63585015,12/31/2024 11:45:42 PM,01/01/2025 09:01:05 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 09:01:10 AM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63581545,12/31/2024 11:45:40 PM,01/02/2025 05:08:12 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:11:40 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63578228,12/31/2024 11:45:35 PM,01/02/2025 05:05:52 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:07:24 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63575976,12/31/2024 11:45:33 PM,01/01/2025 12:34:38 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11208,315 FOUNTAIN AVENUE,FOUNTAIN AVENUE,SUTTER AVENUE,BLAKE AVENUE,SUTTER AVENUE,BLAKE AVENUE,ADDRESS,BROOKLYN,FOUNTAIN AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 12:34:42 AM,05 BROOKLYN,3042920061,BROOKLYN,1019057,184141,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67203282992318,-73.87452281961095,"(40.67203282992318, -73.87452281961095)"
63580129,12/31/2024 11:45:28 PM,01/02/2025 12:53:47 PM,DSNY,Department of Sanitation,Dirty Condition,Trash,Alley,11421,85-82 75 STREET,75 STREET,85 DRIVE,86 ROAD,85 DRIVE,86 ROAD,ADDRESS,WOODHAVEN,75 STREET,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,01/02/2025 12:53:50 PM,09 QUEENS,4088360057,QUEENS,1021152,191706,ONLINE,Unspecified,QUEENS,,,,,,,,40.692788524213114,-73.86692905102116,"(40.692788524213114, -73.86692905102116)"
63579530,12/31/2024 11:45:17 PM,01/02/2025 10:28:18 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10456,1288 WASHINGTON AVENUE,WASHINGTON AVENUE,,,,,ADDRESS,BRONX,,,Closed,,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,01/02/2025 12:00:00 AM,03 BRONX,2023730021,BRONX,1010247,242694,MOBILE,Unspecified,BRONX,,,,,,,,40.83277609479995,-73.9060559474111,"(40.83277609479995, -73.9060559474111)"
63577369,12/31/2024 11:45:16 PM,01/01/2025 12:33:08 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11217,233 BUTLER STREET,BUTLER STREET,BOND STREET,NEVINS STREET,BOND STREET,NEVINS STREET,ADDRESS,BROOKLYN,BUTLER STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/01/2025 12:33:10 AM,06 BROOKLYN,3004050051,BROOKLYN,988002,187734,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68196243389455,-73.98647225205205,"(40.68196243389455, -73.98647225205205)"
63572114,12/31/2024 11:45:15 PM,01/01/2025 02:00:14 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11373,76-11 46 AVENUE,46 AVENUE,76 STREET,78 STREET,76 STREET,78 STREET,ADDRESS,ELMHURST,46 AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/01/2025 02:00:17 AM,04 QUEENS,4015300078,QUEENS,1015263,209005,PHONE,Unspecified,QUEENS,,,,,,,,40.740292689755655,-73.88808543414527,"(40.740292689755655, -73.88808543414527)"
63576074,12/31/2024 11:45:02 PM,01/02/2025 08:42:28 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10452,38 ELLIOT PLACE,ELLIOT PLACE,,,,,ADDRESS,BRONX,,,Closed,,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,01/02/2025 12:00:00 AM,04 BRONX,2028410018,BRONX,1007141,245054,PHONE,Unspecified,BRONX,,,,,,,,40.839262205783406,-73.91727188224486,"(40.839262205783406, -73.91727188224486)"
63576075,12/31/2024 11:45:02 PM,01/02/2025 08:42:28 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10452,38 ELLIOT PLACE,ELLIOT PLACE,,,,,ADDRESS,BRONX,,,Closed,,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,01/02/2025 12:00:00 AM,04 BRONX,2028410018,BRONX,1007141,245054,PHONE,Unspecified,BRONX,,,,,,,,40.839262205783406,-73.91727188224486,"(40.839262205783406, -73.91727188224486)"
63573908,12/31/2024 11:45:00 PM,12/31/2024 11:45:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11421,,,,,JAMAICA AVENUE,WOODHAVEN BOULEVARD,INTERSECTION,QUEENS,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,12/31/2024 11:45:00 PM,09 QUEENS,,QUEENS,1025246,192031,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.69366255534651,-73.852163876474,"(40.69366255534651, -73.852163876474)"
63584208,12/31/2024 11:44:57 PM,01/01/2025 01:43:15 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,11234,2275 RYDER STREET,RYDER STREET,AVENUE U,AVENUE V,AVENUE U,AVENUE V,ADDRESS,BROOKLYN,RYDER STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/01/2025 01:43:18 AM,18 BROOKLYN,3085560004,BROOKLYN,1005270,160352,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.60678061153722,-73.92429822013098,"(40.60678061153722, -73.92429822013098)"
63579931,12/31/2024 11:44:57 PM,01/02/2025 05:05:54 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:07:01 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63577924,12/31/2024 11:44:57 PM,01/01/2025 09:01:31 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 09:01:56 AM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63578057,12/31/2024 11:44:53 PM,01/02/2025 05:08:19 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:10:53 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63581018,12/31/2024 11:44:51 PM,12/31/2024 11:47:30 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456,1465 WASHINGTON AVENUE,WASHINGTON AVENUE,ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,12/31/2024 11:47:34 PM,03 BRONX,2029020036,BRONX,1010885,244212,ONLINE,Unspecified,BRONX,,,,,,,,40.83694066292417,-73.90374441298103,"(40.83694066292417, -73.90374441298103)"
63580647,12/31/2024 11:44:46 PM,01/01/2025 12:15:34 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11218,AVENUE C,AVENUE C,AVENUE C,OCEAN PARKWAY,AVENUE C,OCEAN PARKWAY,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2025 12:15:39 AM,12 BROOKLYN,,BROOKLYN,991565,172780,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.640914779776715,-73.97364216306418,"(40.640914779776715, -73.97364216306418)"
63582376,12/31/2024 11:44:43 PM,12/31/2024 11:58:52 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10004,52 STONE STREET,STONE STREET,COENTIES ALLEY,MILL LANE,COENTIES ALLEY,MILL LANE,ADDRESS,NEW YORK,STONE STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/31/2024 11:58:55 PM,01 MANHATTAN,1000290026,MANHATTAN,981412,195905,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.70439027897919,-74.01023578489063,"(40.70439027897919, -74.01023578489063)"
63576927,12/31/2024 11:44:35 PM,01/01/2025 01:48:43 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10468,19 MINERVA PLACE,MINERVA PLACE,CRESTON AVENUE,GRAND CONCOURSE,CRESTON AVENUE,GRAND CONCOURSE,ADDRESS,BRONX,MINERVA PLACE,,Closed,,The Police Department issued a summons in response to the complaint.,01/01/2025 01:48:47 AM,07 BRONX,2033190062,BRONX,1014405,256644,MOBILE,Unspecified,BRONX,,,,,,,,40.87105145607921,-73.89096766033678,"(40.87105145607921, -73.89096766033678)"
63583220,12/31/2024 11:44:18 PM,01/02/2025 05:08:10 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:09:21 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63583420,12/31/2024 11:44:10 PM,01/01/2025 09:01:52 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 09:02:05 AM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63576215,12/31/2024 11:44:05 PM,01/02/2025 05:08:15 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:09:28 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63579013,12/31/2024 11:43:44 PM,12/31/2024 11:56:34 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10004,48 STONE STREET,STONE STREET,COENTIES ALLEY,MILL LANE,COENTIES ALLEY,MILL LANE,ADDRESS,NEW YORK,STONE STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/31/2024 11:56:39 PM,01 MANHATTAN,1000290024,MANHATTAN,981398,195892,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.70435459253604,-74.01028627303778,"(40.70435459253604, -74.01028627303778)"
63583385,12/31/2024 11:43:40 PM,01/02/2025 05:11:28 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:16:04 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63575619,12/31/2024 11:43:36 PM,01/01/2025 12:50:15 AM,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,11368,FLUSHING MEADOWS CORONA PARK,FLUSHING MEADOWS CORONA PARK,52 AVENUE,53 AVENUE,52 AVENUE,53 AVENUE,UNRECOGNIZED,CORONA,FLUSHING MEADOWS CORONA PARK,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 12:50:19 AM,81 QUEENS,4020180001,QUEENS,1027989,209784,ONLINE,Flushing Meadows Corona Park,QUEENS,,,,,,,,40.742377064999275,-73.84215697754966,"(40.742377064999275, -73.84215697754966)"
63581094,12/31/2024 11:43:27 PM,01/01/2025 01:03:07 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11206,101 HUMBOLDT STREET,HUMBOLDT STREET,SEIGEL STREET,BORINQUEN PLZ II PEDESTRIAN PATH,SEIGEL STREET,BORINQUEN PLZ II PEDESTRIAN PATH,ADDRESS,BROOKLYN,HUMBOLDT STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/01/2025 01:03:10 AM,01 BROOKLYN,3030800040,BROOKLYN,1000590,196049,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70477089330443,-73.94106635226046,"(40.70477089330443, -73.94106635226046)"
63583149,12/31/2024 11:43:25 PM,01/01/2025 09:01:06 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 09:01:14 AM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63582248,12/31/2024 11:43:24 PM,01/01/2025 01:03:28 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11435,139-52 87 ROAD,87 ROAD,139 STREET,143 STREET,139 STREET,143 STREET,ADDRESS,JAMAICA,87 ROAD,,Closed,,The Police Department issued a summons in response to the complaint.,01/01/2025 01:03:31 AM,08 QUEENS,4096990014,QUEENS,1035923,196631,MOBILE,Unspecified,QUEENS,,,,,,,,40.706232552509796,-73.81362624111807,"(40.706232552509796, -73.81362624111807)"
63577543,12/31/2024 11:43:24 PM,01/01/2025 12:43:39 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11385,71-21 65 PLACE,65 PLACE,CENTRAL AVENUE,MYRTLE AVENUE,CENTRAL AVENUE,MYRTLE AVENUE,ADDRESS,RIDGEWOOD,65 PLACE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/01/2025 12:43:42 AM,05 QUEENS,4036770041,QUEENS,1014843,195113,ONLINE,Unspecified,QUEENS,,,,,,,,40.70216399618778,-73.88966420300167,"(40.70216399618778, -73.88966420300167)"
63581425,12/31/2024 11:43:18 PM,01/02/2025 05:05:53 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:07:01 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63580721,12/31/2024 11:43:12 PM,01/01/2025 12:17:55 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,389 BROOME STREET,BROOME STREET,MULBERRY STREET,CENTRE MARKET PLACE,MULBERRY STREET,CENTRE MARKET PLACE,ADDRESS,NEW YORK,BROOME STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/01/2025 12:17:59 AM,02 MANHATTAN,1004710013,MANHATTAN,985088,201793,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72055185225046,-73.99697686126076,"(40.72055185225046, -73.99697686126076)"
63581072,12/31/2024 11:43:05 PM,01/01/2025 12:23:00 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11360,16-66 BELL BOULEVARD,BELL BOULEVARD,16 AVENUE,18 AVENUE,16 AVENUE,18 AVENUE,ADDRESS,BAYSIDE,BELL BOULEVARD,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,01/01/2025 12:23:04 AM,07 QUEENS,4058650118,QUEENS,1045610,225380,MOBILE,Unspecified,QUEENS,,,,,,,,40.78507922169945,-73.77842510011234,"(40.78507922169945, -73.77842510011234)"
63583061,12/31/2024 11:43:02 PM,01/02/2025 05:11:29 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:16:01 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63577240,12/31/2024 11:43:00 PM,01/01/2025 07:45:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11101,,,,,31 STREET,38 AVENUE,INTERSECTION,QUEENS,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,01/01/2025 07:45:00 AM,01 QUEENS,,QUEENS,1003084,213909,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.75378725624085,-73.9320212307947,"(40.75378725624085, -73.9320212307947)"
63581416,12/31/2024 11:42:53 PM,01/02/2025 05:57:25 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,4177 HILL AVENUE,HILL AVENUE,EDENWALD AVENUE,BUSSING AVENUE,EDENWALD AVENUE,BUSSING AVENUE,ADDRESS,BRONX,HILL AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/02/2025 05:57:31 AM,12 BRONX,2050260012,BRONX,1028255,265546,PHONE,Unspecified,BRONX,,,,,,,,40.89542644447948,-73.84083140623139,"(40.89542644447948, -73.84083140623139)"
63580284,12/31/2024 11:42:42 PM,01/01/2025 01:07:01 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11369,32-04 86 STREET,86 STREET,32 AVENUE,NORTHERN BOULEVARD,32 AVENUE,NORTHERN BOULEVARD,ADDRESS,EAST ELMHURST,86 STREET,,Closed,,The Police Department issued a summons in response to the complaint.,01/01/2025 01:07:04 AM,03 QUEENS,4014150008,QUEENS,1016945,215361,ONLINE,Unspecified,QUEENS,,,,,,,,40.7577322343659,-73.88198481783013,"(40.7577322343659, -73.88198481783013)"
63585043,12/31/2024 11:42:39 PM,01/01/2025 09:01:34 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2025 09:01:44 AM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
63582377,12/31/2024 11:42:31 PM,12/31/2024 11:56:07 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10004,50 STONE STREET,STONE STREET,COENTIES ALLEY,MILL LANE,COENTIES ALLEY,MILL LANE,ADDRESS,NEW YORK,STONE STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/31/2024 11:56:10 PM,01 MANHATTAN,1000290025,MANHATTAN,981405,195898,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.704371063378034,-74.01026102875971,"(40.704371063378034, -74.01026102875971)"
63585135,12/31/2024 11:42:30 PM,01/02/2025 05:07:28 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/02/2025 05:09:06 PM,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187241649303,-73.86016845296459,"(40.89187241649303, -73.86016845296459)"
